NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
99,01:54:55,42.62,90.00,47.38,-0.06,2.59,M3
100,01:54:57,42.75,90.00,47.25,-0.12,2.57,M3
101,01:54:59,42.88,90.00,47.12,-0.12,2.57,M3
102,01:55:01,43.00,90.00,47.00,-0.12,2.57,M3
103,01:55:03,43.12,90.00,46.88,-0.12,2.57,M3
104,01:55:05,43.25,90.00,46.75,-0.12,2.57,M3
105,01:55:07,43.38,90.00,46.62,-0.12,2.57,M3
106,01:55:09,43.50,90.00,46.50,-0.12,2.57,M3
107,01:55:11,43.62,90.00,46.38,-0.12,2.57,M3
108,01:55:13,43.75,90.00,46.25,-0.12,2.57,M3
109,01:55:15,43.88,90.00,46.12,-0.12,2.57,M3
110,01:55:17,44.00,90.00,46.00,-0.12,2.57,M3
111,01:55:19,44.12,90.00,45.88,-0.12,2.57,M3
112,01:55:21,44.25,90.00,45.75,-0.12,2.57,M3
113,01:55:23,44.38,90.00,45.62,-0.12,2.57,M3
114,01:55:25,44.50,90.00,45.50,-0.12,2.57,M3
115,01:55:27,44.62,90.00,45.38,-0.12,2.57,M3
116,01:55:29,44.75,90.00,45.25,-0.12,2.57,M3
117,01:55:31,44.88,90.00,45.12,-0.12,2.57,M3
118,01:55:33,45.00,90.00,45.00,-0.12,2.57,M3
119,01:55:35,45.06,90.00,44.94,-0.06,2.59,M3
120,01:55:37,45.19,90.00,44.81,-0.12,2.57,M3
121,01:55:39,45.31,90.00,44.69,-0.12,2.57,M3
122,01:55:41,45.44,90.00,44.56,-0.12,2.57,M3
123,01:55:43,45.56,90.00,44.44,-0.12,2.57,M3
124,01:55:45,45.69,90.00,44.31,-0.12,2.57,M3
125,01:55:47,45.75,90.00,44.25,-0.06,2.59,M3
126,01:55:49,45.88,90.00,44.12,-0.12,2.57,M3
127,01:55:52,46.06,90.00,43.94,-0.19,2.56,M3
