-0.52  -0.52  -1
-1.11  -0.58  -1
-1.54  -0.44  -1
-1.16   0.38   1
-0.76   0.40   1
 0.07   0.82   1
 2.09   2.02   1
 1.06  -1.03  -1
-0.17  -1.23  -1
-0.91  -0.74  -1
-1.28  -0.37  -1
-1.50  -0.22  -1
-1.37   0.13   1
-0.93   0.43   1
-0.88   0.06   1
-0.11   0.77   1
 1.61   1.72   1
 0.80  -0.81  -1
-0.10  -0.90  -1
-1.08  -0.98  -1
-1.17  -0.09  -1
-1.57  -0.40  -1
-0.94   0.63   1
-0.91   0.04   1
-0.75   0.16   1
 0.09   0.84   1
 1.90   1.81   1
 1.05  -0.86  -1
 0.01  -1.04  -1
-0.72  -0.72  -1
-0.85  -0.14  -1
-1.28  -0.43  -1
-1.32  -0.04  -1
-1.73  -0.41  -1
-1.02   0.71   1
-0.76   0.25   1
