NO,TIME,SUHU,VOLT_PH,PH,SET_POINT,EROR,DELTA_EROR,AKSI
1,22:06:33,29.25,1.6732,5.02,4.5,-0.52,-0.52,UP
2,22:09:39,29.25,1.5898,5.61,4.5,-1.11,-0.58,UP
3,22:12:44,29.25,1.5273,6.04,4.5,-1.54,-0.44,UP
4,22:15:50,29.25,1.5823,5.66,4.5,-1.16,0.38,DOWN
5,22:18:57,29.19,1.6396,5.26,4.5,-0.76,0.40,DOWN
6,22:22:02,29.19,1.7578,4.43,4.5,0.07,0.82,DOWN
7,22:25:08,29.19,2.0479,2.41,4.5,2.09,2.02,DOWN
8,22:28:14,29.19,1.9002,3.44,4.5,1.06,-1.03,UP
9,22:31:20,29.19,1.7240,4.67,4.5,-0.17,-1.23,UP
10,22:34:26,29.19,1.6178,5.41,4.5,-0.91,-0.74,UP
11,22:37:32,29.19,1.5650,5.78,4.5,-1.28,-0.37,UP
12,22:40:37,29.19,1.5336,6.00,4.5,-1.50,-0.22,UP
13,22:43:43,29.19,1.5526,5.87,4.5,-1.37,0.13,DOWN
14,22:46:49,29.19,1.6146,5.43,4.5,-0.93,0.43,DOWN
15,22:49:55,29.19,1.6225,5.38,4.5,-0.88,0.06,DOWN
16,22:53:01,29.19,1.7329,4.61,4.5,-0.11,0.77,DOWN
17,22:56:07,29.19,1.9796,2.89,4.5,1.61,1.72,DOWN
18,22:59:13,29.19,1.8634,3.70,4.5,0.80,-0.81,UP
19,23:02:18,29.19,1.7346,4.60,4.5,-0.10,-0.90,UP
20,23:05:24,29.19,1.5937,5.58,4.5,-1.08,-0.98,UP
21,23:09:18,29.19,1.5804,5.67,4.5,-1.17,-0.09,UP
22,23:12:24,29.19,1.5236,6.07,4.5,-1.57,-0.40,UP
23,23:15:30,29.19,1.6134,5.44,4.5,-0.94,0.63,DOWN
24,23:19:39,29.25,1.6186,5.41,4.5,-0.91,0.04,DOWN
25,23:22:45,29.19,1.6411,5.25,4.5,-0.75,0.16,DOWN
26,23:25:51,29.25,1.7609,4.41,4.5,0.09,0.84,DOWN
27,23:28:57,29.25,2.0208,2.60,4.5,1.90,1.81,DOWN
28,23:32:03,29.25,1.8981,3.45,4.5,1.05,-0.86,UP
29,23:35:09,29.25,1.7493,4.49,4.5,0.01,-1.04,UP
30,23:38:15,29.25,1.6458,5.22,4.5,-0.72,-0.72,UP
31,23:41:31,29.25,1.6261,5.35,4.5,-0.85,-0.14,UP
32,23:44:37,29.25,1.5650,5.78,4.5,-1.28,-0.43,UP
33,23:48:57,29.25,1.5589,5.82,4.5,-1.32,-0.04,UP
34,23:52:03,29.25,1.5007,6.23,4.5,-1.73,-0.41,UP
35,23:55:09,29.25,1.6027,5.52,4.5,-1.02,0.71,DOWN
36,23:58:15,29.25,1.6388,5.26,4.5,-0.76,0.25,DOWN
