NO,TIME,SUHU,VOLT_PH,PH,SET_POINT,EROR,DELTA_EROR,AKSI,DURASI_MS
1,03:19:17,29.50,1.7915,4.37,4.5,0.13,0.13,DOWN,1000
2,03:25:19,29.50,1.7677,4.53,4.5,-0.03,-0.16,UP,1000
3,03:29:20,29.50,1.7473,4.67,4.5,-0.17,-0.14,IDLE,0
4,03:35:22,29.50,1.7849,4.42,4.5,0.08,0.25,DOWN,1000
5,03:39:23,29.50,1.7904,4.38,4.5,0.12,0.04,IDLE,0
6,03:45:25,29.50,1.7581,4.60,4.5,-0.10,-0.22,UP,1000
7,03:51:27,29.50,1.7592,4.59,4.5,-0.09,0.01,DOWN,1000
8,03:57:28,29.44,1.8399,4.05,4.5,0.45,0.54,DOWN,1000
9,04:03:31,29.44,1.8233,4.16,4.5,0.34,-0.11,UP,2030
10,04:09:34,29.44,1.7764,4.48,4.5,0.02,-0.32,UP,1524
11,04:13:35,29.44,1.7325,4.77,4.5,-0.27,-0.30,IDLE,0
